UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
292,L47471,L,298,308.3,1473,42.6,107,0,No Failure
293,L47472,L,298.1,308.4,1335,40.2,109,0,No Failure
294,H29707,H,298.1,308.5,1392,44.8,111,0,No Failure
295,M15154,M,298.1,308.5,1372,51.1,116,0,No Failure
296,M15155,M,298.1,308.6,1716,30.7,119,0,No Failure
297,L47476,L,298,308.5,1395,46.2,122,0,No Failure
298,L47477,L,298,308.5,1713,25.3,124,0,No Failure
299,H29712,H,297.9,308.5,2129,18.7,126,0,No Failure
300,M15159,M,297.8,308.3,1567,35.6,131,0,No Failure
301,L47480,L,297.8,308.4,1622,38.3,134,0,No Failure
302,L47481,L,297.7,308.4,1740,27.1,136,0,No Failure
303,H29716,H,297.8,308.4,1512,35.1,138,0,No Failure
304,M15163,M,297.8,308.4,1479,43.5,143,0,No Failure
305,L47484,L,297.8,308.4,1737,27.5,146,0,No Failure
306,L47485,L,297.8,308.4,2129,19.2,148,0,No Failure
307,L47486,L,297.8,308.4,1374,47.1,150,0,No Failure
308,M15167,M,297.8,308.4,1579,36.6,152,0,No Failure
309,L47488,L,297.9,308.5,1305,47.2,155,0,No Failure
310,M15169,M,297.9,308.5,1449,40.8,157,0,No Failure
311,H29724,H,298,308.6,1526,41.8,160,0,No Failure
312,M15171,M,298,308.6,1453,44.1,165,0,No Failure
313,L47492,L,297.9,308.6,1468,36,168,0,No Failure
314,L47493,L,298,308.6,1313,50.8,170,0,No Failure
315,M15174,M,297.9,308.5,1300,53,172,0,No Failure
316,L47495,L,297.9,308.4,1646,40.6,175,0,No Failure
317,L47496,L,297.8,308.4,1714,33.2,177,0,No Failure
318,L47497,L,297.8,308.4,1685,28.4,179,0,No Failure
319,L47498,L,297.8,308.4,1512,39.9,181,0,No Failure
320,L47499,L,297.8,308.4,1612,32.1,183,0,No Failure
321,H29734,H,297.8,308.4,1550,38.2,185,0,No Failure
322,L47501,L,297.8,308.4,1518,32.5,190,0,No Failure
323,L47502,L,297.8,308.5,1448,40,192,0,No Failure
324,L47503,L,297.8,308.5,1561,46.3,194,0,No Failure
325,M15184,M,297.8,308.5,1488,41.9,196,0,No Failure
326,L47505,L,297.8,308.5,1699,27.8,199,0,No Failure
327,L47506,L,297.7,308.5,1501,41.4,201,0,No Failure
328,L47507,L,297.7,308.5,1373,56.7,203,1,Overstrain Failure
329,H29742,H,297.6,308.4,1703,31.4,205,0,No Failure
330,H29743,H,297.7,308.5,1720,29.9,210,0,No Failure
331,M15190,M,297.6,308.4,1398,41.9,215,0,No Failure
332,M15191,M,297.6,308.4,1391,51.9,218,0,No Failure
333,M15192,M,297.6,308.3,1538,40.2,0,0,No Failure
334,L47513,L,297.5,308.2,1647,31.3,3,0,No Failure
335,M15194,M,297.5,308.1,1469,44.8,5,0,No Failure
336,L47515,L,297.4,308.1,1749,25.9,8,0,No Failure
337,M15196,M,297.6,308.2,1995,20.5,10,0,No Failure
338,L47517,L,297.6,308.3,1742,27.7,13,0,No Failure
339,L47518,L,297.5,308.2,1563,38.2,15,0,No Failure
340,M15199,M,297.5,308.2,1713,32.2,17,0,No Failure
341,L47520,L,297.4,308.1,1474,39.4,20,0,No Failure
342,M15201,M,297.4,308.2,1530,32.6,22,0,No Failure
343,L47522,L,297.4,308.2,1471,46.5,25,0,No Failure
344,L47523,L,297.5,308.3,1388,48.6,27,0,No Failure
345,M15204,M,297.5,308.2,2448,13.8,29,0,No Failure
346,L47525,L,297.5,308.3,1585,32.9,32,0,No Failure
347,M15206,M,297.5,308.3,1459,45.2,34,0,No Failure
348,L47527,L,297.5,308.3,1544,40.8,37,0,No Failure
349,L47528,L,297.6,308.3,1617,31.7,39,0,No Failure
350,L47529,L,297.6,308.3,1595,34.3,41,0,No Failure
351,H29764,H,297.6,308.3,1400,44.3,43,0,No Failure
352,M15211,M,297.6,308.4,1611,31,48,0,No Failure
353,M15212,M,297.6,308.4,1507,46,51,0,No Failure
354,H29767,H,297.5,308.3,1674,30,54,0,No Failure
355,L47534,L,297.6,308.3,1658,34.3,59,0,No Failure
356,L47535,L,297.6,308.3,1623,36.9,61,0,No Failure
357,M15216,M,297.6,308.4,1398,48.9,63,0,No Failure
358,L47537,L,297.6,308.4,1517,34.2,66,0,No Failure
359,M15218,M,297.6,308.3,1467,36.7,68,0,No Failure
360,M15219,M,297.6,308.3,1567,34.6,71,0,No Failure
361,M15220,M,297.5,308.3,1521,38.2,74,0,No Failure
362,L47541,L,297.5,308.3,1596,36.8,77,0,No Failure
363,H29776,H,297.6,308.3,1640,30.9,79,0,No Failure
364,L47543,L,297.6,308.3,1438,47.8,84,0,No Failure
365,L47544,L,297.6,308.4,1407,55.2,86,0,No Failure
366,L47545,L,297.6,308.4,1353,57.5,88,0,No Failure
367,M15226,M,297.6,308.5,1552,40.9,90,0,No Failure
368,M15227,M,297.6,308.4,1569,38.3,93,0,No Failure
369,L47548,L,297.5,308.4,1489,39.5,96,0,No Failure
370,H29783,H,297.5,308.4,1587,36.1,98,0,No Failure
371,M15230,M,297.5,308.3,1622,37.2,103,0,No Failure
372,L47551,L,297.5,308.4,1604,38.1,106,0,No Failure
373,M15232,M,297.4,308.3,1405,51.7,108,0,No Failure
374,L47553,L,297.4,308.3,1412,42,111,0,No Failure
375,L47554,L,297.4,308.3,1431,43,113,0,No Failure
376,L47555,L,297.4,308.2,1533,37.4,115,0,No Failure
377,M15236,M,297.4,308.2,1401,51.9,117,0,No Failure
378,M15237,M,297.4,308.2,1424,53.9,120,0,No Failure
379,L47558,L,297.3,308.2,1754,29.4,123,0,No Failure
